,calibName,chamber,splitDriftTime,diffJointPoint,para_smallRt,residual_smallRt,ndf_smallRt,para_largeRt,residual_largeRt,ndf_largeRt,para_res,residual_res,ndf_res
55,BIL_2_6,BIL6A03,98.26551034022681,-0.0001772526331240698,"[0.04644588415380703, 0.06888352307348543]",[0.01584543],14,"[-5.827297268627929e-11, 1.2126124359704385e-07, -9.925825806122837e-05, 0.04944770339133768, 0.622552818282984]",[0.0260109],87,"[0.0096800349513908, -0.42103673463777447, 7.122159210299594, -56.290997109690444, 240.52789545177734]",[8.25886542],100
56,BIL_3_-1,BIL1C05,98.36557705136758,-0.0002697195407099784,"[0.04643291852091953, 0.06931743447690827]",[0.01653346],14,"[-5.7571440897805047e-11, 1.200944751078656e-07, -9.854713426821585e-05, 0.04923612170698223, 0.6379183193292706]",[0.02597075],87,"[0.009619424799981293, -0.41950627244325117, 7.112886370034443, -56.2928761837523, 240.50182694789697]",[8.11165829],100
57,BIL_3_-2,BIL2C05,98.36557705136758,-0.00042284923156721277,"[0.04643448955407581, 0.069268575577345]",[0.01645555],14,"[-5.765114780006266e-11, 1.2022662286460908e-07, -9.862736571454066e-05, 0.04925998115054705, 0.6361819094571085]",[0.02597466],87,"[0.009632776398891903, -0.41996161143925526, 7.117988677264672, -56.311875939400466, 240.5043828385294]",[8.14025598],100
58,BIL_3_-3,BIL3C05,98.26551034022681,-0.0005799148539642474,"[0.0464500989580002, 0.06875597183947872]",[0.01562914],14,"[-5.852949576599262e-11, 1.216856970522397e-07, -9.951492902831418e-05, 0.049523298262592046, 0.617108019647828]",[0.02601899],87,"[0.009728515216930377, -0.4224250082924314, 7.134007877771006, -56.31576561959298, 240.50225214897546]",[8.35907799],100
59,BIL_3_-4,BIL4C05,98.16544362908606,0.0006198534635988295,"[0.0464508268586402, 0.06873780887105334]",[0.0155409],14,"[-5.862538562942377e-11, 1.218443762953428e-07, -9.961067944295653e-05, 0.04955125475016137, 0.6150798357503461]",[0.0260454],87,"[0.00974290680677885, -0.4229171168993909, 7.139538054735122, -56.336409064157415, 240.50488306096977]",[8.39103479],100
60,BIL_3_-5,BIL5C05,98.26551034022681,-0.0003168129704853584,"[0.04644783087853612, 0.06880013179003135]",[0.01576807],14,"[-5.837874871663225e-11, 1.2143476706778662e-07, -9.936147104872315e-05, 0.049477312594188874, 0.620453447817118]",[0.02602045],87,"[0.009695321976747114, -0.4215561015754493, 7.127937662945641, -56.31208706483251, 240.528542904105]",[8.28601191],100
61,BIL_3_-6,BIL6C05,98.36557705136758,-0.0006540740176976811,"[0.046436858394568306, 0.06918886299205255]",[0.01634272],14,"[-5.776028846779705e-11, 1.204085017879204e-07, -9.873848865461013e-05, 0.049293118000738045, 0.6337567728952905]",[0.02598671],87,"[0.009598513627997605, -0.4188326937811131, 7.105321441112173, -56.26106145682362, 240.4899964626915]",[8.18064993],100
62,BIL_3_1,BIL1A05,98.26551034022681,0.0005882270299819581,"[0.046437580441232564, 0.06917415380213954]",[0.01628835],14,"[-5.782506063783041e-11, 1.2051622618508376e-07, -9.880421648405379e-05, 0.049312687331145286, 0.6323412621784571]",[0.02598306],87,"[0.00960924032666675, -0.41919903579404433, 7.109435916378676, -56.27647417847225, 240.49255538415233]",[8.19590792],100
63,BIL_3_2,BIL2A05,98.36557705136758,-0.00025266931082512656,"[0.04643243914103323, 0.0693333885859525]",[0.01657531],14,"[-5.752609715714254e-11, 1.2001997277333474e-07, -9.850238336182987e-05, 0.04922292298110936, 0.6388361327951481]",[0.0259471],87,"[0.0096121512108163, -0.41925836650236104, 7.110116044192633, -56.282671194572124, 240.50108893438755]",[8.1055678],100
64,BIL_3_3,BIL3A05,98.36557705136758,-0.0006628858459034603,"[0.04643734891672159, 0.06915157597618075]",[0.01631357],14,"[-5.7787925138533856e-11, 1.204545653700656e-07, -9.876648392319387e-05, 0.049301345760719685, 0.6331792181296351]",[0.02596039],87,"[0.0096034427595018, -0.4189990272340233, 7.107155911598847, -56.26767552204356, 240.49013447274046]",[8.19199233],100
65,BIL_3_4,BIL4A05,98.36557705136758,-0.00030238790606951227,"[0.046433752175841295, 0.06928638047263157]",[0.01650782],14,"[-5.757012903096616e-11, 1.200910575839734e-07, -9.854474366709836e-05, 0.04923586237937922, 0.6379421077290834]",[0.02595322],87,"[0.009620258101168256, -0.41953439302715184, 7.113193037429151, -56.293899010593464, 240.50120279012162]",[8.11471244],100
